Gene.symbol	X14G1.5M.1	X14G1.5M.2	X14G1.5M.merged	X14G2.6M.1
A2m	6.419162093	6.95919083	8.495149374	10.63120525
Acta2	8.260785957	7.892161265	6.836297956	9.089854554
Actb	10.46095033	9.504766081	7.928472554	9.805531845
Actg1	7.886756395	9.963629707	8.995155789	9.805531845
Actn1	9.074154973	8.724056232	9.498159022	8.279061409
Actn4	6.96300353	7.611507601	9.231779994	8.653508285
Agpat1	8.28775011	8.81969302	9.094709382	8.935939361
Ahnak	9.817937649	7.51829931	8.448914783	8.795344848
Ahsg	11.62134417	11.16742796	12.65285361	13.99413372
Akap6	7.643694629	7.591605372	9.631049491	8.863073024
Akr1b1	8.993802167	9.00829024	8.772380107	7.513336146
Alb	14.1799168	12.87501147	15.15670397	15.79627423
Aldh9a1	9.709772857	8.701939046	7.385856149	8.360265877
Aldoa	8.593238403	7.195657103	8.323387047	8.781675601
Anxa2	7.928680822	7.904439883	9.121685302	8.797111314
Anxa5	6.974508127	8.236490149	9.832994271	8.383780785
Aox2	8.245682514	8.510241729	10.64949841	9.250527094
Apoa1	10.50634502	7.864292705	9.097497958	11.62918052
Apob	7.984014273	8.46466832	10.34549474	11.71420085
Aqp1	8.547432798	8.640771638	7.409138954	9.06836409
Arf1	7.730983218	7.588771319	9.732514178	8.843341858
Arf3	9.119782874	8.061464101	9.005881675	8.921493951
Arf4	9.572418478	7.424650091	8.475259957	8.321152037
Arpc4	8.454118211	8.387788986	9.728462832	6.718463806
Atp5f1b	8.800575945	7.405640124	9.138467332	8.580832426
C3	10.61917013	9.361655327	11.51422011	13.30364192
C4b	8.437586287	7.372318338	7.962627845	8.371937203
Calr	10.56242428	8.402272544	8.071884126	8.204950056
Cap1	7.445174877	6.026872362	8.020872085	9.297460694
Cct3	8.489123945	7.403933862	9.345148977	8.575210254
Cfl1	8.998304929	8.998815878	7.629717581	9.34702602
Cltc	7.735625986	10.88027293	7.423237162	8.093677937
Col12a1	7.647137534	7.386284337	8.908495307	9.019072921
Col1a1	12.3897786	11.41045883	13.18605645	8.06986622
Col1a2	11.24789271	9.647558337	11.76443204	10.39133987
Cryab	8.670136663	9.463757344	6.624135641	8.852503172
Dpysl2	8.318038186	8.023423469	9.226623272	6.97486707
EG433182	7.598886869	7.844728702	8.403531626	8.979447066
Eef1a1	8.356109657	8.312182656	8.949939309	7.980070146
Eef1g	6.445309299	9.880642041	9.699940216	9.458086717
Eef2	8.187926308	8.652375259	8.742139823	8.580628283
Eif4a1	8.955293616	7.813702798	8.97145538	10.74516446
Eno1	6.34051297	8.902709445	9.159888883	8.723929568
Fbln1	9.058072001	8.660697878	10.09837336	11.50209714
Fcgbp	8.609244448	7.740928743	10.01428098	8.766374565
Fcgbpl1	8.609244448	7.740928743	10.01428098	8.613412915
Flna	8.504977361	6.613614014	7.71184386	7.764389227
Fn1	12.99581573	11.90214992	13.75740111	9.347731007
Gapdh	8.28912218	10.00375964	9.247002331	6.961496272
Gda	9.75699334	8.261135221	9.324983045	8.257550868
Gdi2	8.000447699	8.211263363	8.811557905	7.649165362
Glud1	7.98345158	8.210194009	10.00471693	8.970303728
Gm5478	9.41431602	6.743932126	13.23211494	5.466010125
Gm7298	2.294157673	7.954809445	9.960393497	8.508470914
Gstp1	5.129592477	8.626685043	8.889767018	9.171844243
Gtpbp1	8.049992528	7.724757894	8.106367312	7.854156214
H2bc14	6.957479669	6.633609914	8.610976613	7.816203344
H3-3a	7.326378547	7.555880248	7.218355047	8.953081527
H3-5	6.668178746	8.107304959	6.431921751	8.342427348
H3c1	8.961448504	6.089758222	9.56199364	8.06836508
H3c13	8.286697298	8.881961018	5.896325455	8.849380685
H3c14	9.235943612	8.329479049	6.34682498	7.463882609
H3f3a	7.510374654	8.113156557	8.625216974	8.656612717
H3f4	8.931477472	7.767314369	8.568033089	8.571375084
H4c1	7.287272277	8.404315886	8.248822295	8.980712544
HBB1	4.788403595	8.552364708	5.839035826	8.114931158
Hba	8.227632163	7.466341436	8.824888641	6.984368908
Hba-a1	8.470215872	9.52374135	6.96523355	8.161319288
Hbat1	9.584589555	7.019276557	7.787132104	6.848058509
Hbb-b1	4.788403595	7.603173148	5.839035826	8.105961312
Hbb-b2	4.788403595	8.009696163	5.839035826	7.742837713
Hbb-bs	4.788403595	9.033669839	5.839035826	6.813230049
Hbbt1	4.788403595	9.238901527	5.839035826	11.10746129
Hbbt2	4.788403595	9.048670451	5.839035826	7.557873454
Hist1h3e	8.75006441	8.265151361	7.540418887	7.866104742
Hist1h3i	10.33530976	6.664493348	8.090545754	7.64094452
Hist2h3b	7.648879581	8.388215339	7.877738041	7.859405142
Hist2h4	8.010653086	8.052451976	6.634114925	6.712989869
Hsp90aa1	9.313007327	8.054444431	9.443947553	7.455116431
Hsp90ab1	8.438438391	8.987610285	8.330355076	8.265752943
Hsp90b1	9.85150619	7.942322121	8.162332691	7.860021587
Hspa5	7.753378593	8.608425737	8.059783494	8.499434065
Hspa8	8.464945762	8.486848765	7.296795859	9.955534648
Htra1	8.665025805	8.46929531	8.438841097	9.627972879
Itih2	5.623578758	7.295983979	8.265410966	11.31801973
Krt1	13.00215417	11.85217016	13.6840552	11.30669702
Krt10	10.26383406	9.188651303	11.35657605	9.237781443
Krt13	8.853478248	10.22721882	8.742485834	10.13530041
Krt15	10.76476727	10.22721882	11.98598382	10.13530041
Krt17	7.972670103	10.22721882	6.912482832	10.13530041
Krt18	7.623696474	10.22721882	8.073157624	10.13530041
Krt19	8.548309093	10.22721882	7.488429989	10.13530041
Krt2	9.18286932	8.209480496	10.05516235	9.361449623
Krt5	12.55505304	11.5388478	13.50043766	9.873483249
Krt6a	12.49626114	8.363710098	10.07395952	10.99163845
Krt6b	12.49626114	9.588492708	8.992155805	8.946014315
Krt73	11.99496369	11.00636521	12.75652895	9.682798514
Krt75	8.503888721	10.19710092	6.460241758	8.548697453
Krt77	12.81269852	11.83008183	13.56916821	11.38905475
Krt78	11.71536057	7.974581441	12.4961964	9.235509746
Krt79	10.18965003	9.190417624	10.80555595	7.797195852
Ldha	9.722805246	9.924220467	7.757292	8.114389243
Ldhb	8.405002928	7.428773163	9.94101313	10.42837823
Lmna	6.79722551	8.442421268	5.932767056	6.677263596
Mroh6	8.31594791	12.39129223	13.76535124	14.54912234
Msn	9.201480985	6.296336695	6.369388578	10.06736837
Mug1	2.294157673	6.635965842	8.453164005	10.16621271
Myh9	7.520127185	7.693908188	8.089244635	9.015690208
Myl12a	8.079865586	10.74808732	7.728885728	9.008034127
Myl12b	7.455755437	7.154947279	9.45969609	8.194224838
Myl6	9.069034401	9.155841257	8.629957891	8.684920051
Naglu	8.004801382	9.410805164	11.83085782	8.826497885
Ncln	8.736277433	8.661026068	9.174411467	8.110289014
Nes	11.04567581	9.952337098	11.74193459	10.37839968
P4hb	8.421766624	7.945806033	10.59373445	8.92879424
Pdia3	8.41234146	6.318901837	9.353459086	9.15733635
Pdia6	8.722587092	7.388647486	8.187913094	7.948614389
Pfn1	8.77952521	10.34243399	8.27556386	9.174339338
Pgam1	7.243806783	8.542649325	8.404917874	9.70627398
Pgd	9.131532513	9.326304923	9.376488016	7.267159794
Pgk1	8.012307649	8.614758236	7.448924469	8.668165616
Pkm	8.552192477	7.718677764	7.561238598	7.161895476
Pls3	10.0468189	9.057121062	8.818448833	6.940053572
Ppia	10.6822403	7.734474319	8.952503009	9.101866904
Prss3b	7.796726924	8.725486712	8.663906419	10.22721882
Psma4	8.953545439	7.379678708	8.806690466	7.874295317
Ptms	8.561413383	8.404827128	9.532233774	8.963349118
Pzp	8.463335083	7.736112893	8.838640418	8.607032828
Rack1	9.471420336	7.093862734	7.409688619	8.015878916
Ran	9.025547195	8.766715087	8.238570649	6.359532059
Rpsa	8.335248757	9.101794546	8.96538293	8.422466455
S100a6	8.424442601	9.342972645	8.410218728	7.583879406
Septin7	10.58375244	8.746177877	7.740721851	7.629997603
Sptbn1	7.428282962	8.645411386	8.357718302	8.586495744
Thbs1	11.7017603	10.79931518	12.51827837	10.57983276
Tpm2	9.243053097	7.676196377	7.596025345	8.356123305
Tpm3	8.413279942	6.830783077	9.994148287	7.009502241
Tpm4	6.935940384	6.005736387	6.789139561	7.743492181
Try10	8.557136885	7.64041716	8.469025265	7.986290499
Tuba1a	8.484189982	8.403663332	6.534726833	8.465347964
Tuba1b	7.19090027	8.440257473	8.914899708	9.355956494
Tubb5	8.374612812	8.553459662	8.053135197	6.147911541
Tyk2	8.957149879	9.002553884	10.79923674	8.557020642
Vat1	8.901401847	8.126744035	8.39848954	9.562794209
Vcp	9.068906659	7.937424752	8.339692169	7.267284631
Vim	9.427409367	8.267239714	6.337923579	9.406905761
Ywhae	8.435546429	8.862248517	8.18689134	7.4446019
Ywhag	9.358279591	9.488941715	7.991939917	7.864844294
Ywhaz	7.97048523	7.533001452	7.270978151	8.55439234
mKIAA0034	7.956739139	8.074845916	7.837564907	8.788048849
