Gene.symbol	Endothelial cells	Dental Pulp Cells	Glial cells	Lymphocytes	Perivascular Cells	Macrophages	Pre-odontoblasts	"Stratum Intermedium" and "Stellate Reticulum"	early-stage pulp cell	Vascular Smooth Muscle Cells	Outer Enamel Epithelium	Osteoblasts	Ameloblasts	innate immune cells
Clec7a	0.11	0.07	0.01	1.38	0.15	2.63	0.05	0.04	0.04	0.04	0.05	0.09	0.24	1.56
Cd14	0.43	0.33	0.02	1.28	0.29	3.07	0.27	0.06	0.11	0.12	0.06	0.34	0.18	1.14
Apobec1	0.25	0.26	0.63	1.6	0.21	3.15	0.14	0.07	0.24	0.17	0.17	0.31	0.07	0.54
Fyb	0.09	0.17	0.05	1.85	0.09	2.91	0.12	0.07	0.17	0.56	0.12	0.06	0.05	2.25
Plek	0.15	0.18	0.05	1.91	0.13	2.77	0.15	0.02	0.17	0.12	0.04	0.12	0.02	2.03
Il1b	0.21	0.19	0.04	1.31	0.16	2.71	0.16	0.06	0.08	0.01	0.11	0.18	0.24	1.75
Ccr1	0.1	0.11	0.02	0.82	0.08	2.37	0.12	0.05	0.02	0.06	0.03	0.1	0.04	2.54
Lpcat2	0.16	0.15	1.08	1.2	0.07	3.08	0.13	0.39	0.24	0.11	0.05	0.17	0.04	1.98
Clec4a2	0.05	0.08	0.02	1.18	0.06	2.67	0.06	0.03	0.02	0.06	0.04	0.07	0.02	2.34
Lst1	0.07	0.13	0.05	1.6	0.16	2.62	0.03	0.02	0.1	0.04	0.04	0.15	0	2.33
Fcgr3	0.26	0.22	0.03	1.79	0.1	3.47	0.11	0.08	0.1	0.09	0.17	0.18	0.05	2.73
C5ar1	0.09	0.08	0.01	0.36	0.13	2.1	0.04	0.03	0.05	0.03	0.08	0.1	0.04	3.1
Cyth4	0.72	0.11	0.03	2.3	0.16	2.92	0.06	0.01	0.09	0.06	0.05	0.14	0.03	1.17
Cd300a	0.09	0.11	0.03	1.87	0.21	2.72	0.03	0.04	0.09	0.09	0.04	0.05	0.03	1.48
Evi2a	0.06	0.11	0.1	2.01	0.09	2.6	0.14	0.04	0.11	0.11	0.04	0.2	0.09	1.59
Lrrc33	0.99	0.06	0.06	2.46	0.12	2.4	0.05	0.02	0.07	0.08	0.05	0.06	0.11	1.28
Neurl3	0.2	0.1	0.07	1.88	0.04	2.7	0.02	0.02	0.05	0.01	0.07	0.09	0.08	1.71
Mpeg1	0.18	0.17	0.03	2.18	0.12	3.51	0.16	0.04	0.14	0.12	0.06	0.15	0.16	1.32
Cd68	0.29	0.22	0.09	1.96	0.17	3.35	0.15	0.21	0.14	0.12	0.48	0.22	0.09	0.45
Wfdc17	0.1	0.12	0.04	1.79	0.1	2.43	0.07	0.06	0.05	0.03	0.03	0.08	0.06	0.78
Fcgr2b	0.24	0.16	0.84	2.19	0.16	3.26	0.09	0.01	0.15	0.11	0.08	0.14	0.08	0.68
Rgs10	0.16	0.24	0.38	1.57	0.59	2.97	0.13	0.2	0.36	0.48	0.82	1.12	0.33	0.12
Atf3	0.49	0.23	0.44	1.78	0.63	3.12	0.22	0.14	0.08	0.08	0.24	0.27	0.08	0.29
Irf5	0.13	0.15	0.04	2.09	0.22	2.65	0.11	0.1	0.12	0.06	0.33	0.09	0.35	0.32
AF251705	0.11	0.08	0.01	1.65	0.09	3.08	0.09	0.02	0.1	0.05	0.09	0.1	0.04	1.08
Il10ra	0.1	0.09	0.03	1.9	0.2	2.9	0.02	0.03	0.08	0.05	0.05	0.1	0.02	0.27
Irf8	0.18	0.08	0.19	1.49	0.08	2.8	0.06	0.01	0.04	0.1	0.06	0.09	0	0.04
Ly86	0.09	0.1	0.01	2.07	0.12	3.29	0.07	0.05	0.05	0.02	0.02	0.08	0.04	0.15
Pld4	0.15	0.11	0.04	2.49	0.14	3.11	0.1	0.04	0.08	0.11	0.12	0.2	0.09	0.08
Cd48	0.08	0.08	0.01	2.44	0.09	2.7	0.08	0.05	0.1	0.08	0.03	0.1	0.05	0.13
H2-DMa	0.33	0.31	0.09	2.22	0.18	3.14	0.22	0.13	0.26	0.18	0.15	0.28	0.28	0.14
Ms4a6d	0.17	0.11	0.01	1.04	0.03	2.55	0.04	0.02	0.04	0.04	0.05	0.06	0.03	0.07
